ID_Customer,Customer_Name,Customer_Segment,Customer_Size,Industry,Region_CC,Region_OC,Country,Acquisition_Channel,Customer_Start_Date,cluster_ID_Customer,cluster_active_purchase_months,cluster_distinct_products,cluster_prd_line_coverage_pct,cluster_prd_grp_1_coverage_pct,cluster_prd_grp_2_coverage_pct,cluster_prd_grp_3_coverage_pct,cluster_avg_order_line_value,cluster_avg_unit_price_realized,cluster_active_months,cluster_lifetime_months,cluster_months_since_last_purchase,cluster_activity_ratio_lifetime,cluster_max_consec_active_months,cluster_current_consec_active_months,cluster_avg_inactive_gap_months,cluster_max_inactive_gap_months,cluster_is_inactive_6m,cluster_is_inactive_12m,cluster_avg_monthly_revenue,cluster_historical_ltv,cluster_purchase_freq_per_year,cluster_R_recency_m,cluster_F_frequency_m,cluster_M_sales,cluster_sf_active_months,cluster_sf_active_in_last_3m,cluster_sf_active_in_last_6m,cluster_sf_active_in_last_12m,cluster_sf_total_events,cluster_sf_total_selling_time,cluster_sf_total_activity_time,cluster_sf_activity_ratio_lifetime,cluster_sf_events_per_active_month,cluster_has_salesforce_activity,cluster_sales_without_recent_sf_activity,cluster_sf_activity_without_recent_sales,cluster_sales_value_segment,cluster_recency_segment,cluster_purchase_share_grp1_Automation Modules,cluster_purchase_share_grp1_Core Products,cluster_purchase_share_grp1_Maintenance Kits,cluster_purchase_share_grp1_Premium Products,cluster_purchase_share_grp1_Safety Solutions,cluster_purchase_share_grp1_Service Contracts,cluster_purchase_share_grp3_Calibration Kits Type 1,cluster_purchase_share_grp3_Calibration Kits Type 2,cluster_purchase_share_grp3_Compliance Safety Type 1,cluster_purchase_share_grp3_Compliance Safety Type 2,cluster_purchase_share_grp3_Controllers Type 1,cluster_purchase_share_grp3_Controllers Type 2,cluster_purchase_share_grp3_Core Advanced Type 1,cluster_purchase_share_grp3_Core Advanced Type 2,cluster_purchase_share_grp3_Core Basic Type 1,cluster_purchase_share_grp3_Core Basic Type 2,cluster_purchase_share_grp3_Core Replacement Type 1,cluster_purchase_share_grp3_Core Replacement Type 2,cluster_purchase_share_grp3_Extended Support Type 1,cluster_purchase_share_grp3_Extended Support Type 2,cluster_purchase_share_grp3_Facility Safety Type 2,cluster_purchase_share_grp3_Installation Type 1,cluster_purchase_share_grp3_Installation Type 2,cluster_purchase_share_grp3_Monitoring Type 1,cluster_purchase_share_grp3_Monitoring Type 2,cluster_purchase_share_grp3_Personal Safety Type 1,cluster_purchase_share_grp3_Personal Safety Type 2,cluster_purchase_share_grp3_Premium Custom Type 1,cluster_purchase_share_grp3_Premium Custom Type 2,cluster_purchase_share_grp3_Premium Plus Type 1,cluster_purchase_share_grp3_Premium Plus Type 2,cluster_purchase_share_grp3_Premium Standard Type 1,cluster_purchase_share_grp3_Premium Standard Type 2,cluster_purchase_share_grp3_Preventive Kits Type 1,cluster_purchase_share_grp3_Preventive Kits Type 2,cluster_purchase_share_grp3_Repair Kits Type 1,cluster_purchase_share_grp3_Repair Kits Type 2,cluster_purchase_share_grp3_Sensors Type 1,cluster_purchase_share_grp3_Sensors Type 2,cluster_purchase_share_grp3_Training Type 1,cluster_purchase_share_grp3_Training Type 2,cluster_cluster,cluster_cohort_ML,historical_ltv,sf_active_months,reco_top1_grp1_product,reco_top1_grp1_probability,reco_top1_grp1_rank,reco_top2_grp1_product,reco_top2_grp1_probability,reco_top2_grp1_rank,reco_top3_grp1_product,reco_top3_grp1_probability,reco_top3_grp1_rank,reco_top1_grp3_product,reco_top1_grp3_probability,reco_top1_grp3_rank,reco_top2_grp3_product,reco_top2_grp3_probability,reco_top2_grp3_rank,reco_top3_grp3_product,reco_top3_grp3_probability,reco_top3_grp3_rank,lead_top1_product_group,lead_top1_product,lead_top1_model_probability,lead_top1_score,lead_top1_tier,lead_top1_reason,lead_top2_product_group,lead_top2_product,lead_top2_model_probability,lead_top2_score,lead_top2_tier,lead_top2_reason,lead_top3_product_group,lead_top3_product,lead_top3_model_probability,lead_top3_score,lead_top3_tier,lead_top3_reason
C00001,BrightPath Distribution AG 0001,Distributor,Very Large,Logistics,Southern Europe,Central,Italy,Inbound,2023-02-01,C00001,23.0,5.0,0.5714285714285714,0.6666666666666666,0.2777777777777778,0.1428571428571428,3073.0482978723403,221.18418070444105,23.0,34.0,1.0,0.6764705882352942,7.0,3.0,0.5,3.0,0.0,0.0,4248.037352941176,144433.27,8.117647058823529,1.0,23.0,144433.27,29.0,1.0,1.0,1.0,117.0,81.92,67.59,0.8055555555555556,4.0344827586206895,1.0,0.0,0.0,Top Value,Very Recent,0.1914241960183767,0.1653905053598774,0.1653905053598774,0.4777947932618683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653905053598774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664624808575804,0.0,0.0,0.2113323124042879,0.0,0.0,0.1653905053598774,0.0,0.1914241960183767,0.0,0.0,0.0,0.0,Emerging,144433.27,29.0,Service Contracts,0.0746735283253509,1.0,Safety Solutions,0.0643524517474781,2.0,,,,Premium Custom Type 2,0.1751941876614167,1.0,Premium Plus Type 2,0.1640587438174796,2.0,Repair Kits Type 2,0.1549910575156983,3.0,grp3,Premium Custom Type 2,0.1751941876614167,0.340430206341849,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Premium Plus Type 2,0.1640587438174796,0.3354192566120773,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Repair Kits Type 2,0.1549910575156983,0.3313387977762757,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk
C00002,Silverline Supplies BV 0002,SMB,Small,Food & Beverage,Southern Europe,West,Germany,Partner,2022-05-01,C00002,8.0,9.0,1.0,0.6666666666666666,0.3333333333333333,0.2285714285714285,278.7417647058824,225.64809523809527,8.0,31.0,1.0,0.2580645161290322,3.0,1.0,3.2857142857142856,14.0,0.0,0.0,152.8583870967742,4738.610000000001,3.096774193548387,1.0,8.0,4738.610000000001,13.0,1.0,1.0,1.0,45.0,28.87,18.84,0.4333333333333333,3.4615384615384617,1.0,0.0,0.0,Low Value,Very Recent,0.3333333333333333,0.3333333333333333,0.0,0.1904761904761904,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,0.0,0.1428571428571428,0.0952380952380952,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0952380952380952,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,Emerging,4738.610000000001,13.0,Maintenance Kits,0.0860809128842519,1.0,Service Contracts,0.0835567372236742,2.0,,,,Compliance Safety Type 1,0.1792271923235667,1.0,Core Advanced Type 1,0.1677400166879335,2.0,Facility Safety Type 2,0.1639613501845866,3.0,grp3,Compliance Safety Type 1,0.1792271923235667,0.2274243286420843,Warm,recent/frequent buyer; low inactivity risk,grp3,Core Advanced Type 1,0.1677400166879335,0.2222550996060494,Warm,recent/frequent buyer; low inactivity risk,grp3,Facility Safety Type 2,0.1639613501845866,0.2205546996795432,Warm,recent/frequent buyer; low inactivity risk
C00003,Northstar Technologies Ltd 0003,SMB,Large,Construction,Western Europe,North,Netherlands,Website,2022-02-01,C00003,31.0,11.0,0.5714285714285714,0.8333333333333334,0.5,0.2857142857142857,1898.6838095238093,302.98145896656536,31.0,35.0,1.0,0.8857142857142857,15.0,4.0,0.1333333333333333,1.0,0.0,0.0,5696.051428571428,199361.8,10.62857142857143,1.0,31.0,199361.8,24.0,1.0,1.0,1.0,124.0,76.3,70.78,0.7272727272727273,5.166666666666667,1.0,0.0,0.0,Top Value,Very Recent,0.0,0.3282674772036474,0.1200607902735562,0.1504559270516717,0.1474164133738602,0.2537993920972644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0881458966565349,0.2401215805471124,0.0,0.0,0.0,0.0,0.0,0.1474164133738602,0.094224924012158,0.0319148936170212,0.0,0.0,0.0,0.0,0.0,0.0,0.0486322188449848,0.0,0.0,0.1018237082066869,0.0531914893617021,0.0,0.0,0.0668693009118541,0.0,0.0,0.1276595744680851,0.0,4.0,Core,199361.8,24.0,Automation Modules,0.1262292347405852,1.0,,,,,,,Core Basic Type 2,0.2302837312607299,1.0,Personal Safety Type 1,0.2125624411198129,2.0,Premium Custom Type 2,0.1885902744390428,3.0,grp3,Core Basic Type 2,0.2302837312607299,0.3984574173819467,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Personal Safety Type 1,0.2125624411198129,0.3904828368185341,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Premium Custom Type 2,0.1885902744390428,0.3796953618121875,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk
C00004,Greenfield Trading Group 0004,Mid-Market,Large,Manufacturing,Benelux,South,Belgium,Partner,2021-10-01,C00004,26.0,4.0,0.5714285714285714,0.5,0.2222222222222222,0.1142857142857142,1712.231842105263,190.2479824561404,26.0,36.0,0.0,0.7222222222222222,10.0,10.0,0.4,3.0,0.0,0.0,3614.7116666666666,130129.62,8.666666666666666,0.0,26.0,130129.62,23.0,1.0,1.0,1.0,100.0,59.66,48.33,0.6571428571428571,4.3478260869565215,1.0,0.0,0.0,Top Value,Very Recent,0.2631578947368421,0.4780701754385965,0.2587719298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.2353801169590643,0.0,0.2426900584795321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2587719298245614,0.0,0.0,0.0,0.0,4.0,Core,130129.62,23.0,Premium Products,0.0706582738870296,1.0,Safety Solutions,0.0702103503972523,2.0,Service Contracts,0.035254351045658,3.0,Core Basic Type 2,0.1898126336186572,1.0,Controllers Type 1,0.1673994962923113,2.0,Monitoring Type 1,0.1458618077663602,3.0,grp3,Core Basic Type 2,0.1898126336186572,0.344047902543759,Hot,recent/frequent buyer; low inactivity risk,grp3,Controllers Type 1,0.1673994962923113,0.3339619907469033,Hot,recent/frequent buyer; low inactivity risk,grp3,Monitoring Type 1,0.1458618077663602,0.3242700309102254,Hot,recent/frequent buyer; low inactivity risk
C00005,Greenfield Retail Group BV 0005,SMB,Medium,Retail,Western Europe,North,Netherlands,Website,2020-12-01,C00005,17.0,5.0,0.7142857142857143,0.6666666666666666,0.2222222222222222,0.1428571428571428,1086.7347222222222,501.5698717948717,17.0,30.0,5.0,0.5666666666666667,5.0,1.0,0.8125,5.0,0.0,0.0,1304.0816666666665,39122.45,6.8,5.0,17.0,39122.45,23.0,1.0,1.0,1.0,82.0,47.96,43.34,0.6388888888888888,3.565217391304348,1.0,0.0,0.0,High Value,Cooling,0.1538461538461538,0.2179487179487179,0.0,0.1538461538461538,0.0,0.4743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2179487179487179,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.141025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,Emerging,39122.45,23.0,Safety Solutions,0.079454805415554,1.0,Maintenance Kits,0.051104614829909,2.0,,,,Training Type 1,0.1787155195926509,1.0,Extended Support Type 1,0.1651843926615077,2.0,Training Type 2,0.1428064958740779,3.0,grp3,Training Type 1,0.1787155195926509,0.2730249092855844,Hot,recent/frequent buyer; low inactivity risk,grp3,Extended Support Type 1,0.1651843926615077,0.26693590216657,Hot,recent/frequent buyer; low inactivity risk,grp3,Training Type 2,0.1428064958740779,0.2568658486122265,Warm,recent/frequent buyer; low inactivity risk
C00006,BrightPath Industries AG 0006,Distributor,Large,Manufacturing,DACH,West,Germany,Website,2021-02-01,C00006,12.0,9.0,0.8571428571428571,1.0,0.5,0.2571428571428571,1188.1312,177.86395209580837,12.0,30.0,6.0,0.4,4.0,1.0,1.6363636363636365,6.0,1.0,0.0,990.1093333333332,29703.28,4.8,6.0,12.0,29703.28,13.0,1.0,1.0,1.0,39.0,30.16,19.04,0.40625,3.0,1.0,0.0,0.0,High Value,Cooling,0.0359281437125748,0.1377245508982036,0.2335329341317365,0.0778443113772455,0.2514970059880239,0.2634730538922156,0.0,0.1377245508982036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377245508982036,0.0,0.0,0.0,0.2514970059880239,0.0,0.2095808383233532,0.0359281437125748,0.0,0.0,0.0,0.0,0.0479041916167664,0.029940119760479,0.0,0.0,0.0,0.0,0.0,0.0,0.0958083832335329,0.0,0.0,0.0,0.0538922155688622,0.0,Emerging,29703.28,13.0,,,,,,,,,,Compliance Safety Type 1,0.2033121759504163,1.0,Personal Safety Type 1,0.1880549439313127,2.0,Repair Kits Type 1,0.1823071348114543,3.0,grp3,Compliance Safety Type 1,0.2033121759504163,0.2362727316559697,Warm,low inactivity risk,grp3,Personal Safety Type 1,0.1880549439313127,0.2294069772473731,Warm,low inactivity risk,grp3,Repair Kits Type 1,0.1823071348114543,0.2268204631434368,Warm,low inactivity risk
C00007,Northstar Distribution BV 0007,Mid-Market,Medium,Energy,Western Europe,North,Italy,Outbound Sales,2020-08-01,C00007,14.0,11.0,0.7142857142857143,0.8333333333333334,0.5,0.2857142857142857,1029.430769230769,535.304,14.0,33.0,2.0,0.4242424242424242,5.0,1.0,1.4615384615384617,4.0,0.0,0.0,811.0666666666667,26765.2,5.090909090909091,2.0,14.0,26765.2,13.0,1.0,1.0,1.0,48.0,41.14,25.130000000000003,0.4193548387096774,3.692307692307693,1.0,0.0,0.0,High Value,Recent,0.32,0.16,0.18,0.12,0.0,0.22,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.22,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,Emerging,26765.2,13.0,Safety Solutions,0.1198580046103075,1.0,,,,,,,Training Type 2,0.1865977382020302,1.0,Repair Kits Type 2,0.1750501079229801,2.0,Installation Type 1,0.1719098106043642,3.0,grp3,Training Type 2,0.1865977382020302,0.2531398707111587,Warm,recent/frequent buyer; low inactivity risk,grp3,Repair Kits Type 2,0.1750501079229801,0.2479434370855861,Warm,recent/frequent buyer; low inactivity risk,grp3,Installation Type 1,0.1719098106043642,0.2465303032922089,Warm,recent/frequent buyer; low inactivity risk
C00008,Everline Retail Group AG 0008,Mid-Market,Medium,Manufacturing,DACH,West,Spain,Website,2023-01-01,C00008,19.0,11.0,1.0,0.5,0.3333333333333333,0.2857142857142857,1042.2538636363636,307.7796644295302,19.0,27.0,1.0,0.7037037037037037,8.0,3.0,0.4444444444444444,2.0,0.0,0.0,1698.4877777777776,45859.17,8.444444444444445,1.0,19.0,45859.17,31.0,1.0,1.0,1.0,99.0,74.72,52.91,0.8611111111111112,3.193548387096774,1.0,0.0,0.0,High Value,Very Recent,0.6577181208053692,0.1208053691275167,0.2214765100671141,0.0,0.0,0.0,0.0,0.0738255033557047,0.0,0.0,0.0067114093959731,0.1006711409395973,0.1208053691275167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080536912751678,0.0671140939597315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939597315436241,0.0536912751677852,0.1677852348993288,0.1073825503355704,0.0,0.0,0.0,Emerging,45859.17,31.0,Service Contracts,0.0784002734196771,1.0,Premium Products,0.0705315244264596,2.0,Safety Solutions,0.0626002368984492,3.0,Preventive Kits Type 1,0.1678470184637249,1.0,Core Basic Type 2,0.1554347119366751,2.0,Core Advanced Type 2,0.1365111736575547,3.0,grp3,Preventive Kits Type 1,0.1678470184637249,0.3000970927054271,Hot,recent/frequent buyer; low inactivity risk,grp3,Core Basic Type 2,0.1554347119366751,0.2945115547682547,Hot,recent/frequent buyer; low inactivity risk,grp3,Core Advanced Type 2,0.1365111736575547,0.2859959625426505,Hot,recent/frequent buyer; low inactivity risk
C00009,Vertex Systems GmbH 0009,Mid-Market,Medium,Healthcare,Western Europe,Central,Netherlands,Trade Fair,2021-12-01,C00009,11.0,6.0,0.4285714285714285,0.6666666666666666,0.3333333333333333,0.1714285714285714,618.4390000000001,257.6829166666667,11.0,34.0,1.0,0.3235294117647059,2.0,1.0,2.3,9.0,0.0,0.0,363.7876470588236,12368.78,3.882352941176471,1.0,11.0,12368.78,8.0,0.0,0.0,1.0,30.0,17.45,19.58,0.3809523809523809,3.75,1.0,1.0,0.0,Mid Value,Very Recent,0.1458333333333333,0.5,0.1458333333333333,0.0,0.0,0.2083333333333333,0.0,0.1041666666666666,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.1458333333333333,0.0,0.0,1.0,Occasional,12368.78,8.0,Safety Solutions,0.0753459059335642,1.0,Premium Products,0.0528188041190561,2.0,,,,Extended Support Type 1,0.1510085138315059,1.0,Training Type 2,0.1410210859753125,2.0,Installation Type 1,0.137234964293343,3.0,grp3,Extended Support Type 1,0.1510085138315059,0.2164207192535561,Warm,recent/frequent buyer; low inactivity risk,grp3,Training Type 2,0.1410210859753125,0.2119263767182691,Warm,recent/frequent buyer; low inactivity risk,grp3,Installation Type 1,0.137234964293343,0.2102226219613828,Warm,recent/frequent buyer; low inactivity risk
C00010,UrbanGrid Retail Group Group 0010,SMB,Small,Healthcare,Benelux,Central,Germany,Website,2022-04-01,C00010,11.0,7.0,0.7142857142857143,0.8333333333333334,0.3888888888888889,0.2,301.82444444444445,181.09466666666668,11.0,27.0,9.0,0.4074074074074074,5.0,1.0,1.6,4.0,1.0,0.0,201.2162962962963,5432.84,4.888888888888889,9.0,11.0,5432.84,22.0,1.0,1.0,1.0,73.0,46.83,39.88,0.6666666666666666,3.3181818181818183,1.0,0.0,1.0,Low Value,Inactive,0.1333333333333333,0.3666666666666666,0.1333333333333333,0.1333333333333333,0.2333333333333333,0.0,0.0,0.0,0.0,0.2333333333333333,0.0,0.0,0.0,0.2,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,Emerging,5432.84,22.0,Service Contracts,0.1029753876039808,1.0,,,,,,,Core Basic Type 2,0.2031003439686135,1.0,Personal Safety Type 1,0.2015407180784286,2.0,Core Basic Type 1,0.200727883962736,3.0,grp3,Core Basic Type 2,0.2031003439686135,0.2422730966966642,Warm,low inactivity risk; recent sales activity but no recent sales,grp3,Personal Safety Type 1,0.2015407180784286,0.241571265046081,Warm,low inactivity risk; recent sales activity but no recent sales,grp3,Core Basic Type 1,0.200727883962736,0.2412054896940193,Warm,low inactivity risk; recent sales activity but no recent sales
