ID_Customer,Sales,Units,order_lines,active_purchase_months,distinct_products,prd_line_coverage,prd_grp_1_coverage,prd_grp_2_coverage,prd_grp_3_coverage,customer_first_active_date,customer_last_active_date,prd_line_coverage_pct,prd_grp_1_coverage_pct,prd_grp_2_coverage_pct,prd_grp_3_coverage_pct,avg_order_line_value,avg_unit_price_realized,first_YM,last_YM,first_YM_ORD,last_YM_ORD,active_months,active_in_last_3m,active_in_last_6m,active_in_last_12m,max_consec_active_months,current_consec_active_months,avg_inactive_gap_months,max_inactive_gap_months,lifetime_months,months_since_last_purchase,activity_ratio_lifetime,is_inactive_6m,is_inactive_12m,avg_monthly_revenue,historical_ltv,purchase_freq_per_year,R_recency_m,F_frequency_m,M_sales,sales_value_segment,recency_segment,sf_first_YM,sf_last_YM,sf_first_YM_ORD,sf_last_YM_ORD,sf_active_months,sf_active_in_last_3m,sf_active_in_last_6m,sf_active_in_last_12m,sf_max_consec_active_months,sf_current_consec_active_months,sf_avg_inactive_gap_months,sf_max_inactive_gap_months,sf_total_events,sf_total_selling_time,sf_total_activity_time,sf_distinct_activity_types,sf_distinct_reps,sf_lifetime_months,sf_months_since_last_event,sf_activity_ratio_lifetime,sf_events_per_active_month,has_salesforce_activity,sales_without_recent_sf_activity,sf_activity_without_recent_sales
C00001,144433.27,653,47,23,5,4,4,5,5,2023-02-01,2025-11-01,0.5714285714285714,0.6666666666666666,0.2777777777777778,0.14285714285714285,3073.0482978723403,221.18418070444102,2023-02,2025-11,637,670,23,1,1,1,7.0,3.0,0.5,3.0,34,1,0.6764705882352942,0,0,4248.037352941176,144433.27,8.117647058823529,1,23,144433.27,Top Value,Very Recent,2023-01,2025-12,636,671,29,1,1,1,10.0,1.0,0.25,1.0,117,81.92,67.59,5,15,36,0,0.8055555555555556,4.0344827586206895,1,0,0
C00002,4738.610000000001,21,17,8,9,7,4,6,8,2023-05-01,2025-11-01,1.0,0.6666666666666666,0.3333333333333333,0.22857142857142856,278.74176470588236,225.64809523809527,2023-05,2025-11,640,670,8,1,1,1,3.0,1.0,3.2857142857142856,14.0,31,1,0.25806451612903225,0,0,152.8583870967742,4738.610000000001,3.096774193548387,1,8,4738.610000000001,Low Value,Very Recent,2023-06,2025-11,641,670,13,1,1,1,4.0,2.0,1.4166666666666667,9.0,45,28.869999999999997,18.84,3,10,30,1,0.43333333333333335,3.4615384615384617,1,0,0
C00003,199361.8,658,105,31,11,4,5,9,10,2023-01-01,2025-11-01,0.5714285714285714,0.8333333333333334,0.5,0.2857142857142857,1898.6838095238095,302.98145896656536,2023-01,2025-11,636,670,31,1,1,1,15.0,4.0,0.13333333333333333,1.0,35,1,0.8857142857142857,0,0,5696.051428571428,199361.8,10.62857142857143,1,31,199361.8,Top Value,Very Recent,2023-01,2025-09,636,668,24,1,1,1,8.0,1.0,0.391304347826087,3.0,124,76.3,70.78,6,15,33,3,0.7272727272727273,5.166666666666667,1,0,0
C00004,130129.62,684,76,26,4,4,3,4,4,2023-01-01,2025-12-01,0.5714285714285714,0.5,0.2222222222222222,0.11428571428571428,1712.231842105263,190.24798245614033,2023-01,2025-12,636,671,26,1,1,1,10.0,10.0,0.4,3.0,36,0,0.7222222222222222,0,0,3614.7116666666666,130129.62,8.666666666666666,0,26,130129.62,Top Value,Very Recent,2023-01,2025-11,636,670,23,1,1,1,7.0,1.0,0.5454545454545454,5.0,100,59.66,48.33,6,16,35,1,0.6571428571428571,4.3478260869565215,1,0,0
C00005,39122.45,78,36,17,5,5,4,4,5,2023-02-01,2025-07-01,0.7142857142857143,0.6666666666666666,0.2222222222222222,0.14285714285714285,1086.7347222222222,501.56987179487174,2023-02,2025-07,637,666,17,0,1,1,5.0,1.0,0.8125,5.0,30,5,0.5666666666666667,0,0,1304.0816666666665,39122.45,6.8,5,17,39122.45,High Value,Cooling,2023-01,2025-12,636,671,23,1,1,1,5.0,1.0,0.5909090909090909,4.0,82,47.96,43.34,5,15,36,0,0.6388888888888888,3.5652173913043477,1,0,0
C00006,29703.28,167,25,12,9,6,6,9,9,2023-01-01,2025-06-01,0.8571428571428571,1.0,0.5,0.2571428571428571,1188.1312,177.86395209580837,2023-01,2025-06,636,665,12,0,1,1,4.0,1.0,1.6363636363636365,6.0,30,6,0.4,1,0,990.1093333333333,29703.28,4.8,6,12,29703.28,High Value,Cooling,2023-04,2025-11,639,670,13,1,1,1,2.0,1.0,1.5833333333333333,4.0,39,30.16,19.04,5,11,32,1,0.40625,3.0,1,0,0
C00007,26765.2,50,26,14,11,5,5,9,10,2023-02-01,2025-10-01,0.7142857142857143,0.8333333333333334,0.5,0.2857142857142857,1029.4307692307693,535.304,2023-02,2025-10,637,669,14,1,1,1,5.0,1.0,1.4615384615384615,4.0,33,2,0.42424242424242425,0,0,811.0666666666667,26765.2,5.090909090909091,2,14,26765.2,High Value,Recent,2023-06,2025-12,641,671,13,1,1,1,3.0,3.0,1.5,7.0,48,41.14,25.130000000000003,5,12,31,0,0.41935483870967744,3.6923076923076925,1,0,0
C00008,45859.17,149,44,19,11,7,3,6,10,2023-09-01,2025-11-01,1.0,0.5,0.3333333333333333,0.2857142857142857,1042.2538636363636,307.7796644295302,2023-09,2025-11,644,670,19,1,1,1,8.0,3.0,0.4444444444444444,2.0,27,1,0.7037037037037037,0,0,1698.4877777777776,45859.17,8.444444444444445,1,19,45859.17,High Value,Very Recent,2023-01,2025-12,636,671,31,1,1,1,24.0,4.0,0.16666666666666666,2.0,99,74.72,52.91,6,20,36,0,0.8611111111111112,3.193548387096774,1,0,0
C00009,12368.78,48,20,11,6,3,4,6,6,2023-02-01,2025-11-01,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.17142857142857143,618.4390000000001,257.6829166666667,2023-02,2025-11,637,670,11,1,1,1,2.0,1.0,2.3,9.0,34,1,0.3235294117647059,0,0,363.78764705882355,12368.78,3.8823529411764706,1,11,12368.78,Mid Value,Very Recent,2023-07,2025-03,642,662,8,0,0,1,2.0,1.0,1.8571428571428572,4.0,30,17.45,19.58,4,7,21,9,0.38095238095238093,3.75,1,1,0
C00010,5432.84,30,18,11,7,5,5,7,7,2023-01-01,2025-03-01,0.7142857142857143,0.8333333333333334,0.3888888888888889,0.2,301.82444444444445,181.09466666666668,2023-01,2025-03,636,662,11,0,0,1,5.0,1.0,1.6,4.0,27,9,0.4074074074074074,1,0,201.2162962962963,5432.84,4.888888888888889,9,11,5432.84,Low Value,Inactive,2023-01,2025-09,636,668,22,1,1,1,7.0,1.0,0.5238095238095238,5.0,73,46.83,39.88,5,14,33,3,0.6666666666666666,3.3181818181818183,1,0,1
