ID_Customer,cohort_ML,cluster,Sales,historical_ltv,avg_monthly_revenue,active_months,months_since_last_purchase,activity_ratio_lifetime,sf_total_events,sf_active_months,value_segment,customer_mean_event_value,customer_value_events,customer_value_multiplier,reco_top1_grp1_product,reco_top1_grp1_probability,reco_top1_grp1_expected_order_value,reco_top1_grp1_expected_revenue,reco_top1_grp1_value_method,reco_top1_grp1_rank,reco_top2_grp1_product,reco_top2_grp1_probability,reco_top2_grp1_expected_order_value,reco_top2_grp1_expected_revenue,reco_top2_grp1_value_method,reco_top2_grp1_rank,reco_top3_grp1_product,reco_top3_grp1_probability,reco_top3_grp1_expected_order_value,reco_top3_grp1_expected_revenue,reco_top3_grp1_value_method,reco_top3_grp1_rank,reco_top1_grp3_product,reco_top1_grp3_probability,reco_top1_grp3_expected_order_value,reco_top1_grp3_expected_revenue,reco_top1_grp3_value_method,reco_top1_grp3_rank,reco_top2_grp3_product,reco_top2_grp3_probability,reco_top2_grp3_expected_order_value,reco_top2_grp3_expected_revenue,reco_top2_grp3_value_method,reco_top2_grp3_rank,reco_top3_grp3_product,reco_top3_grp3_probability,reco_top3_grp3_expected_order_value,reco_top3_grp3_expected_revenue,reco_top3_grp3_value_method,reco_top3_grp3_rank,lead_top1_product_group,lead_top1_product,lead_top1_model_probability,lead_top1_expected_order_value,lead_top1_expected_revenue,lead_top1_value_method,lead_top1_score,lead_top1_recommendation_tier,lead_top1_reason,lead_top2_product_group,lead_top2_product,lead_top2_model_probability,lead_top2_expected_order_value,lead_top2_expected_revenue,lead_top2_value_method,lead_top2_score,lead_top2_recommendation_tier,lead_top2_reason,lead_top3_product_group,lead_top3_product,lead_top3_model_probability,lead_top3_expected_order_value,lead_top3_expected_revenue,lead_top3_value_method,lead_top3_score,lead_top3_recommendation_tier,lead_top3_reason,customer_top_lead_score,customer_lead_tier,lead_top1_tier
C00001,Emerging,0,144433.27,144433.27,4248.037352941176,23,1,0.6764705882352942,117,29,Distributor,6279.707391304348,23,2.0,Safety Solutions,0.5630474985415472,1486.3324731320101,836.8757809980498,supported segment-product estimate with shrinkage,1.0,Service Contracts,0.4668539777746526,12633.28322144331,5897.8985242845865,supported segment-product estimate with shrinkage,2.0,,,,,,,Premium Standard Type 1,0.625074849408664,2803.981949595315,1752.6985948879037,supported segment-product estimate with shrinkage,1,Monitoring Type 2,0.5645024458904981,5033.085331170874,2841.1889798215466,supported segment-product estimate with shrinkage,2,Installation Type 2,0.5362045576601325,8132.8978464726715,4360.896892262923,supported segment-product estimate with shrinkage,3,grp3,Premium Standard Type 1,0.625074849408664,2803.981949595315,1752.6985948879037,supported segment-product estimate with shrinkage,0.5428765041281103,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Monitoring Type 2,0.5645024458904981,5033.085331170874,2841.1889798215466,supported segment-product estimate with shrinkage,0.5156189225449357,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp1,Safety Solutions,0.5630474985415472,1486.3324731320101,836.8757809980498,supported segment-product estimate with shrinkage,0.5149641962379078,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,0.5428765041281103,Warm,Warm
C00002,Emerging,0,4738.610000000001,4738.610000000001,152.8583870967742,8,1,0.2580645161290322,45,13,SMB,592.32625,8,0.6441699693783858,Maintenance Kits,0.6421614607634029,259.27841040027596,166.49860276705428,supported segment-product estimate with shrinkage,1.0,Service Contracts,0.33709437839976475,1319.7294624759193,444.87338280917567,supported segment-product estimate with shrinkage,2.0,,,,,,,Core Advanced Type 1,0.7298291775874433,180.91129380002147,132.03434077034998,supported segment-product estimate with shrinkage,1,Calibration Kits Type 1,0.6747686968691416,205.09322648535303,138.39048917220939,supported segment-product estimate with shrinkage,2,Sensors Type 2,0.6216798819080341,647.080412731654,402.2768745720166,supported segment-product estimate with shrinkage,3,grp3,Core Advanced Type 1,0.7298291775874433,180.91129380002147,132.03434077034998,supported segment-product estimate with shrinkage,0.47519522201082876,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Calibration Kits Type 1,0.6747686968691416,205.09322648535303,138.39048917220939,supported segment-product estimate with shrinkage,0.45041800568759305,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp1,Maintenance Kits,0.6421614607634029,259.27841040027596,166.49860276705428,supported segment-product estimate with shrinkage,0.4357447494400106,Warm,recent/frequent buyer; low inactivity risk,0.47519522201082876,Warm,Warm
C00003,Core,4,199361.8,199361.8,5696.051428571428,31,1,0.8857142857142857,124,24,SMB,6431.025806451613,31,2.0,Automation Modules,0.4632470136027857,2972.605914599729,1377.050812556302,supported segment-product estimate with shrinkage,1.0,,,,,,,,,,,,,Premium Custom Type 1,0.7908813015359583,2315.490538131079,1831.2781704913043,supported segment-product estimate with shrinkage,1,Extended Support Type 2,0.7898144632756715,3883.1338887978136,3066.955308208416,supported segment-product estimate with shrinkage,2,Sensors Type 1,0.7466608162203435,2573.0797304859766,1921.2178117646808,supported segment-product estimate with shrinkage,3,grp3,Premium Custom Type 1,0.7908813015359583,2315.490538131079,1831.2781704913043,supported segment-product estimate with shrinkage,0.6507263240057994,Hot,high model probability; recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Extended Support Type 2,0.7898144632756715,3883.1338887978136,3066.955308208416,supported segment-product estimate with shrinkage,0.6502462467886704,Hot,high model probability; recent/frequent buyer; strong Salesforce engagement; low inactivity risk,grp3,Sensors Type 1,0.7466608162203435,2573.0797304859766,1921.2178117646808,supported segment-product estimate with shrinkage,0.6308271056137728,Hot,high model probability; recent/frequent buyer; strong Salesforce engagement; low inactivity risk,0.6507263240057994,Hot,Hot
C00004,Core,4,130129.62,130129.62,3614.7116666666666,26,0,0.7222222222222222,100,23,Mid-Market,5004.985384615385,26,2.0,Premium Products,0.38305867486237904,3803.698493661532,1457.039704558014,supported segment-product estimate with shrinkage,1.0,Safety Solutions,0.2817943034801727,1382.3801644531381,389.5468555868787,supported segment-product estimate with shrinkage,2.0,Service Contracts,0.14298361587157024,8911.756774312005,1274.2352073590916,supported segment-product estimate with shrinkage,3.0,Premium Custom Type 1,0.5627550481432465,4066.645221803384,2288.5251275774667,supported segment-product estimate with shrinkage,1,Calibration Kits Type 1,0.538800011513314,1026.9690176242302,553.330918519752,supported segment-product estimate with shrinkage,2,Core Advanced Type 2,0.4544281480679591,1151.6357032006367,523.3356798544072,supported segment-product estimate with shrinkage,3,grp3,Premium Custom Type 1,0.5627550481432465,4066.645221803384,2288.5251275774667,supported segment-product estimate with shrinkage,0.5118719890798242,Hot,recent/frequent buyer; low inactivity risk,grp3,Calibration Kits Type 1,0.538800011513314,1026.9690176242302,553.330918519752,supported segment-product estimate with shrinkage,0.5010922225963546,Hot,recent/frequent buyer; low inactivity risk,grp3,Core Advanced Type 2,0.4544281480679591,1151.6357032006367,523.3356798544072,supported segment-product estimate with shrinkage,0.4631248840459448,Hot,recent/frequent buyer; low inactivity risk,0.5118719890798242,Warm,Warm
C00005,Emerging,0,39122.45,39122.45,1304.0816666666665,17,5,0.5666666666666667,82,23,SMB,2301.320588235294,17,2.0,Safety Solutions,0.322755816487,545.6936402635434,176.12579641502325,supported segment-product estimate with shrinkage,1.0,Maintenance Kits,0.2680521558148141,804.9999929381237,215.78198353797418,supported segment-product estimate with shrinkage,2.0,,,,,,,Training Type 2,0.7912803339535568,2559.631470781621,2025.3860449981148,supported segment-product estimate with shrinkage,1,Training Type 1,0.7586478066620608,4633.486845807477,3515.1846327693524,supported segment-product estimate with shrinkage,2,Extended Support Type 2,0.5815497335071665,3883.1338887978136,2258.2354782030156,supported segment-product estimate with shrinkage,3,grp3,Training Type 2,0.7912803339535568,2559.631470781621,2025.3860449981148,supported segment-product estimate with shrinkage,0.5486790757479921,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Training Type 1,0.7586478066620608,4633.486845807477,3515.1846327693524,supported segment-product estimate with shrinkage,0.5339944384668189,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Extended Support Type 2,0.5815497335071665,3883.1338887978136,2258.2354782030156,supported segment-product estimate with shrinkage,0.4543003055471165,Hot,recent/frequent buyer; low inactivity risk,0.5486790757479921,Warm,Warm
C00006,Emerging,0,29703.28,29703.28,990.1093333333332,12,6,0.4,39,13,Distributor,2475.273333333333,12,0.9102843941537011,,,,,,,,,,,,,,,,,,,Premium Standard Type 2,0.8860132785638625,2210.0343835078543,1958.1198098706586,supported segment-product estimate with shrinkage,1,Premium Custom Type 1,0.835638038457015,2376.747272360503,1986.1004285833915,supported segment-product estimate with shrinkage,2,Preventive Kits Type 1,0.8097891029445072,1026.1105171828585,830.9331152314314,supported segment-product estimate with shrinkage,3,grp3,Premium Standard Type 2,0.8860132785638625,2210.0343835078543,1958.1198098706586,supported segment-product estimate with shrinkage,0.5434882278320206,Hot,high model probability; low inactivity risk,grp3,Premium Custom Type 1,0.835638038457015,2376.747272360503,1986.1004285833915,supported segment-product estimate with shrinkage,0.5208193697839392,Hot,high model probability; low inactivity risk,grp3,Preventive Kits Type 1,0.8097891029445072,1026.1105171828585,830.9331152314314,supported segment-product estimate with shrinkage,0.5091873488033106,Hot,high model probability; low inactivity risk,0.5434882278320206,Warm,Warm
C00007,Emerging,0,26765.2,26765.2,811.0666666666667,14,2,0.4242424242424242,48,13,Mid-Market,1911.7999999999997,14,0.8861169602081665,Safety Solutions,0.4628456785639383,612.47525458864,283.4815248137,supported segment-product estimate with shrinkage,1.0,,,,,,,,,,,,,Installation Type 1,0.9545907233470629,4476.583584066914,4273.305161638023,supported segment-product estimate with shrinkage,1,Extended Support Type 2,0.886081898032098,3489.9587969984523,3092.389314898206,supported segment-product estimate with shrinkage,2,Training Type 1,0.8833431847672876,4062.0517456468083,3588.1857256891717,supported segment-product estimate with shrinkage,3,grp3,Installation Type 1,0.9545907233470629,4476.583584066914,4273.305161638023,supported segment-product estimate with shrinkage,0.5987367140264235,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Extended Support Type 2,0.886081898032098,3489.9587969984523,3092.389314898206,supported segment-product estimate with shrinkage,0.5679077426346892,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Training Type 1,0.8833431847672876,4062.0517456468083,3588.1857256891717,supported segment-product estimate with shrinkage,0.5666753216655246,Hot,high model probability; recent/frequent buyer; low inactivity risk,0.5987367140264235,Hot,Hot
C00008,Emerging,0,45859.17,45859.17,1698.4877777777776,19,1,0.7037037037037037,99,31,Mid-Market,2413.64052631579,19,1.118719429968714,Service Contracts,0.31682558923151716,4984.877729289076,1579.3368238290789,supported segment-product estimate with shrinkage,1.0,Safety Solutions,0.2258132631444975,773.2477747885359,174.6096032442208,supported segment-product estimate with shrinkage,2.0,Premium Products,0.1475174568875806,2127.635705300943,313.863408429209,supported segment-product estimate with shrinkage,3.0,Core Basic Type 2,0.8127162502492689,455.60324085076354,370.27615750564706,supported segment-product estimate with shrinkage,1,Core Basic Type 1,0.8109582090394017,596.7746497716353,483.9593011789216,supported segment-product estimate with shrinkage,2,Core Advanced Type 2,0.6925836796271079,644.1786187081177,446.1475980819759,supported segment-product estimate with shrinkage,3,grp3,Core Basic Type 2,0.8127162502492689,455.60324085076354,370.27615750564706,supported segment-product estimate with shrinkage,0.5902882470089219,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Core Basic Type 1,0.8109582090394017,596.7746497716353,483.9593011789216,supported segment-product estimate with shrinkage,0.5894971284644817,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Core Advanced Type 2,0.6925836796271079,644.1786187081177,446.1475980819759,supported segment-product estimate with shrinkage,0.5362285902289494,Hot,high model probability; recent/frequent buyer; low inactivity risk,0.5902882470089219,Hot,Hot
C00009,Occasional,1,12368.78,12368.78,363.7876470588236,11,1,0.3235294117647059,30,8,Mid-Market,1124.4345454545453,11,0.5211740356581407,Safety Solutions,0.6340428920353361,360.2303245609031,228.4014767834228,supported segment-product estimate with shrinkage,1.0,Premium Products,0.5583426015481207,991.1944471841857,553.4260862808695,supported segment-product estimate with shrinkage,2.0,,,,,,,Premium Standard Type 1,0.7554249523858853,467.4757265403881,353.1428284633298,supported segment-product estimate with shrinkage,1,Compliance Safety Type 2,0.712610792651532,360.87324949586866,257.16217236998506,supported segment-product estimate with shrinkage,2,Core Replacement Type 1,0.6769223011698801,218.00380621822848,147.57163816903582,supported segment-product estimate with shrinkage,3,grp3,Premium Standard Type 1,0.7554249523858853,467.4757265403881,353.1428284633298,supported segment-product estimate with shrinkage,0.4884081166030268,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Compliance Safety Type 2,0.712610792651532,360.87324949586866,257.16217236998506,supported segment-product estimate with shrinkage,0.4691417447225678,Hot,high model probability; recent/frequent buyer; low inactivity risk,grp3,Core Replacement Type 1,0.6769223011698801,218.00380621822848,147.57163816903582,supported segment-product estimate with shrinkage,0.4530819235558244,Hot,high model probability; recent/frequent buyer; low inactivity risk,0.4884081166030268,Warm,Warm
C00010,Emerging,0,5432.84,5432.84,201.2162962962963,11,9,0.4074074074074074,73,22,SMB,493.8945454545455,11,0.5371229693460426,Service Contracts,0.708182576420118,1100.4192081517845,779.2977099711168,supported segment-product estimate with shrinkage,1.0,,,,,,,,,,,,,Personal Safety Type 2,0.702467048560788,124.06189844575836,87.14939564004008,supported segment-product estimate with shrinkage,1,Core Basic Type 2,0.6769468619037956,104.95170386863737,71.0467265853305,supported segment-product estimate with shrinkage,2,Core Basic Type 1,0.610918344045698,121.81588130438696,74.41955648494339,supported segment-product estimate with shrinkage,3,grp1,Service Contracts,0.708182576420118,1100.4192081517845,779.2977099711168,supported segment-product estimate with shrinkage,0.4695601012998412,Hot,high model probability; low inactivity risk; recent sales activity but no recent sales,grp3,Personal Safety Type 2,0.702467048560788,124.06189844575836,87.14939564004008,supported segment-product estimate with shrinkage,0.4669881137631428,Hot,high model probability; low inactivity risk; recent sales activity but no recent sales,grp3,Core Basic Type 2,0.6769468619037956,104.95170386863737,71.0467265853305,supported segment-product estimate with shrinkage,0.4555040297674962,Hot,high model probability; low inactivity risk; recent sales activity but no recent sales,0.4695601012998412,Warm,Warm
