ID_Customer,product_group,recommended_product,model_probability,source_target_col,model_rank_per_customer,value_segment,segment_product_mean_order_value,segment_product_median_order_value,segment_product_value_events,product_mean_order_value,product_median_order_value,product_value_events,customer_mean_event_value,customer_value_events,customer_value_multiplier,value_shrinkage_weight,expected_order_value_before_customer_adjustment,expected_order_value,expected_revenue,expected_revenue_proxy,expected_revenue_is_forecast,probability_semantics,order_value_estimation_method
C00001,grp3,Premium Standard Type 1,0.625074849408664,purchase_flag_grp3_Premium Standard Type 1,1,Distributor,1495.0851386861314,1196.27,137,976.8609597069598,603.8050000000001,546,6279.707391304348,23,2.0,0.8203592814371258,1401.9909747976576,2803.981949595315,1752.6985948879037,1752.6985948879037,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00001,grp3,Monitoring Type 2,0.5645024458904981,purchase_flag_grp3_Monitoring Type 2,2,Distributor,2588.2764063492064,1962.5700000000002,126,2215.2609543776057,1480.17,1679,6279.707391304348,23,2.0,0.8076923076923077,2516.542665585437,5033.085331170874,2841.1889798215466,2841.1889798215466,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00001,grp1,Safety Solutions,0.5630474985415472,purchase_flag_grp1_Safety Solutions,3,Distributor,757.2329061143985,643.1,507,505.43952119815674,312.65,5642,6279.707391304348,23,2.0,0.9441340782122905,743.1662365660051,1486.3324731320101,836.8757809980498,836.8757809980498,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00002,grp3,Core Advanced Type 1,0.7298291775874433,purchase_flag_grp3_Core Advanced Type 1,1,SMB,273.7697314696486,171.115,1252,576.0783271419228,332.28999999999996,3058,592.32625,8,0.6441699693783858,0.9765990639625585,280.84403558054424,180.91129380002147,132.03434077034998,132.03434077034998,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00002,grp3,Calibration Kits Type 1,0.6747686968691416,purchase_flag_grp3_Calibration Kits Type 1,2,SMB,295.83402191780823,199.47,365,592.7382843905916,403.76,1403,592.32625,8,0.6441699693783858,0.9240506329113924,318.38371273852596,205.09322648535303,138.39048917220939,138.39048917220939,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00002,grp1,Maintenance Kits,0.6421614607634029,purchase_flag_grp1_Maintenance Kits,3,SMB,395.25584869326,263.25,2181,929.1495397698504,574.0899999999999,8690,592.32625,8,0.6441699693783858,0.9864314789687924,402.49999646906184,259.27841040027596,166.49860276705428,166.49860276705428,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00003,grp3,Premium Custom Type 1,0.7908813015359583,purchase_flag_grp3_Premium Custom Type 1,1,SMB,994.9544095808383,800.79,167,2063.947720197044,1604.41,609,6431.025806451613,31,2.0,0.8477157360406091,1157.7452690655396,2315.490538131079,1831.2781704913043,1831.2781704913043,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00003,grp3,Extended Support Type 2,0.7898144632756715,purchase_flag_grp3_Extended Support Type 2,2,SMB,1543.2169061728393,1170.4299999999998,162,4092.6571508196716,2647.37,610,6431.025806451613,31,2.0,0.84375,1941.5669443989068,3883.1338887978136,3066.955308208416,3066.955308208416,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00003,grp3,Sensors Type 1,0.7466608162203435,purchase_flag_grp3_Sensors Type 1,3,SMB,1215.0826512195122,829.74,820,3239.703715218003,2038.09,3555,6431.025806451613,31,2.0,0.9647058823529412,1286.5398652429883,2573.0797304859766,1921.2178117646808,1921.2178117646808,False,historical product-affinity score,supported segment-product estimate with shrinkage
C00004,grp3,Premium Custom Type 1,0.5627550481432465,purchase_flag_grp3_Premium Custom Type 1,1,Mid-Market,2027.3566805194805,1701.8600000000001,154,2063.947720197044,1604.41,609,5004.985384615385,26,2.0,0.8369565217391305,2033.322610901692,4066.645221803384,2288.5251275774667,2288.5251275774667,False,historical product-affinity score,supported segment-product estimate with shrinkage
