ID_Customer,reco_top1_grp1_product,reco_top1_grp1_probability,reco_top1_grp1_expected_order_value,reco_top1_grp1_expected_revenue,reco_top1_grp1_value_method,reco_top1_grp1_rank,reco_top2_grp1_product,reco_top2_grp1_probability,reco_top2_grp1_expected_order_value,reco_top2_grp1_expected_revenue,reco_top2_grp1_value_method,reco_top2_grp1_rank,reco_top3_grp1_product,reco_top3_grp1_probability,reco_top3_grp1_expected_order_value,reco_top3_grp1_expected_revenue,reco_top3_grp1_value_method,reco_top3_grp1_rank
C00001,Safety Solutions,0.5630474985415472,1486.3324731320101,836.8757809980498,supported segment-product estimate with shrinkage,1,Service Contracts,0.4668539777746526,12633.28322144331,5897.8985242845865,supported segment-product estimate with shrinkage,2.0,,,,,,
C00002,Maintenance Kits,0.6421614607634029,259.27841040027596,166.49860276705428,supported segment-product estimate with shrinkage,1,Service Contracts,0.33709437839976475,1319.7294624759193,444.87338280917567,supported segment-product estimate with shrinkage,2.0,,,,,,
C00003,Automation Modules,0.4632470136027857,2972.605914599729,1377.050812556302,supported segment-product estimate with shrinkage,1,,,,,,,,,,,,
C00004,Premium Products,0.38305867486237904,3803.698493661532,1457.039704558014,supported segment-product estimate with shrinkage,1,Safety Solutions,0.2817943034801727,1382.3801644531381,389.5468555868787,supported segment-product estimate with shrinkage,2.0,Service Contracts,0.14298361587157024,8911.756774312005,1274.2352073590916,supported segment-product estimate with shrinkage,3.0
C00005,Safety Solutions,0.322755816487,545.6936402635434,176.12579641502325,supported segment-product estimate with shrinkage,1,Maintenance Kits,0.2680521558148141,804.9999929381237,215.78198353797418,supported segment-product estimate with shrinkage,2.0,,,,,,
C00007,Safety Solutions,0.4628456785639383,612.47525458864,283.4815248137,supported segment-product estimate with shrinkage,1,,,,,,,,,,,,
C00008,Service Contracts,0.31682558923151716,4984.877729289076,1579.3368238290789,supported segment-product estimate with shrinkage,1,Safety Solutions,0.2258132631444975,773.2477747885359,174.6096032442208,supported segment-product estimate with shrinkage,2.0,Premium Products,0.1475174568875806,2127.635705300943,313.863408429209,supported segment-product estimate with shrinkage,3.0
C00009,Safety Solutions,0.6340428920353361,360.2303245609031,228.4014767834228,supported segment-product estimate with shrinkage,1,Premium Products,0.5583426015481207,991.1944471841857,553.4260862808695,supported segment-product estimate with shrinkage,2.0,,,,,,
C00010,Service Contracts,0.708182576420118,1100.4192081517845,779.2977099711168,supported segment-product estimate with shrinkage,1,,,,,,,,,,,,
C00011,Maintenance Kits,0.50097497480308,2936.4749386858794,1471.1004584180341,supported segment-product estimate with shrinkage,1,Safety Solutions,0.42219467989053366,1582.0347038752914,667.9266353783438,supported segment-product estimate with shrinkage,2.0,,,,,,
