Month_Year,Customer_ID,Product_ID,Sales,Units
2023-02-01,C00001,P0116,2301.44,13
2023-02-01,C00001,P0083,1545.15,6
2023-04-01,C00001,P0160,763.5,15
2023-05-01,C00001,P0170,805.03,19
2023-05-01,C00001,P0160,155.1,3
2023-05-01,C00001,P0116,4799.29,26
2023-06-01,C00001,P0083,4761.55,18
2023-08-01,C00001,P0116,1939.72,10
2023-09-01,C00001,P0160,554.23,10
2023-09-01,C00001,P0116,2446.36,14
2023-09-01,C00001,P0170,409.95,10
2023-11-01,C00001,P0083,5876.26,21
2024-01-01,C00001,P0170,634.74,15
2024-01-01,C00001,P0160,643.76,13
2024-02-01,C00001,P0170,118.62,3
2024-02-01,C00001,P0083,2971.05,11
2024-02-01,C00001,P0017,5203.06,11
2024-04-01,C00001,P0017,2986.06,6
2024-04-01,C00001,P0083,3236.14,12
2024-06-01,C00001,P0160,605.86,11
2024-06-01,C00001,P0017,6495.9,14
2024-07-01,C00001,P0017,9398.65,21
2024-07-01,C00001,P0083,4040.31,14
2024-09-01,C00001,P0170,,24
2024-09-01,C00001,P0160,822.07,15
2024-09-01,C00001,P0083,2724.48,11
2024-10-01,C00001,P0116,3910.36,20
2024-10-01,C00001,P0160,504.91,9
2024-10-01,C00001,P0017,7119.75,16
2024-11-01,C00001,P0083,5099.46,20
2024-11-01,C00001,P0160,536.06,10
2024-11-01,C00001,P0116,3080.54,16
2024-12-01,C00001,P0170,122.04,3
2025-01-01,C00001,P0116,1986.32,11
2025-01-01,C00001,P0170,505.88,13
2025-02-01,C00001,P0017,9918.14,22
2025-03-01,C00001,P0170,204.71,5
2025-03-01,C00001,P0083,4261.6,17
2025-03-01,C00001,P0017,9239.92,18
2025-05-01,C00001,P0083,4344.11,17
2025-09-01,C00001,P0160,394.28,8
2025-09-01,C00001,P0170,652.5,16
2025-10-01,C00001,P0083,4402.01,16
2025-10-01,C00001,P0160,691.45,14
2025-11-01,C00001,P0116,5494.23,28
2025-11-01,C00001,P0083,3115.58,11
2025-11-01,C00001,P0017,8595.28,17
2023-05-01,C00002,P0135,265.09,1
2023-06-01,C00002,P0114,89.61,1
2023-07-01,C00002,P0138,578.91,1
2023-07-01,C00002,P0044,53.81,1
2023-07-01,C00002,P0179,,1
2024-10-01,C00002,P0116,194.67,1
2024-10-01,C00002,P0152,139.92,1
2024-10-01,C00002,P0060,83.33,1
2024-10-01,C00002,P0179,60.62,1
2025-06-01,C00002,P0179,57.56,1
2025-08-01,C00002,P0180,217.56,2
2025-08-01,C00002,P0060,78.5,1
2025-08-01,C00002,P0116,192.21,1
2025-09-01,C00002,P0138,1718.28,3
2025-11-01,C00002,P0180,108.75,1
2025-11-01,C00002,P0152,133.6,1
2025-11-01,C00002,P0135,598.86,2
2023-01-01,C00003,P0131,914.26,10
2023-01-01,C00003,P0099,762.41,5
2023-01-01,C00003,P0103,4712.77,5
2023-03-01,C00003,P0022,272.36,5
2023-03-01,C00003,P0035,919.67,9
2023-03-01,C00003,P0030,3046.33,8
2023-03-01,C00003,P0063,1021.04,12
2023-04-01,C00003,P0099,144.4,1
2023-04-01,C00003,P0022,722.4,15
2023-04-01,C00003,P0076,9378.93,9
2023-04-01,C00003,P0131,633.63,7
2023-05-01,C00003,P0030,698.85,2
2023-05-01,C00003,P0131,185.31,2
2023-06-01,C00003,P0032,1503.82,11
2023-06-01,C00003,P0131,401.81,5
2023-06-01,C00003,P0022,477.1,9
2023-07-01,C00003,P0076,13363.94,12
2023-07-01,C00003,P0099,316.03,2
2023-07-01,C00003,P0103,7532.92,9
2023-07-01,C00003,P0063,347.56,4
2023-07-01,C00003,P0131,86.38,1
2023-08-01,C00003,P0035,111.5,1
2023-08-01,C00003,P0076,5861.55,6
2023-08-01,C00003,P0063,244.63,3
2023-09-01,C00003,P0083,1640.84,6
2023-09-01,C00003,P0022,151.77,3
2023-09-01,C00003,P0030,1403.69,4
2023-09-01,C00003,P0035,241.44,2
2023-09-01,C00003,P0099,439.21,3
2023-09-01,C00003,P0032,135.1,1
2023-10-01,C00003,P0035,594.63,5
2023-10-01,C00003,P0032,624.45,5
2023-10-01,C00003,P0022,346.18,7
2023-10-01,C00003,P0131,1277.72,14
2023-11-01,C00003,P0099,2167.12,15
2023-11-01,C00003,P0022,351.08,7
2023-12-01,C00003,P0028,684.29,9
2023-12-01,C00003,P0099,299.25,2
2023-12-01,C00003,P0076,10105.79,9
2023-12-01,C00003,P0131,361.31,4
2023-12-01,C00003,P0032,374.24,3
2024-01-01,C00003,P0099,914.15,6
2024-01-01,C00003,P0103,6286.47,7
2024-01-01,C00003,P0063,463.57,6
2024-01-01,C00003,P0028,142.8,2
2024-01-01,C00003,P0083,2227.38,9
2024-01-01,C00003,P0022,104.07,2
2024-01-01,C00003,P0032,944.73,7
2024-02-01,C00003,P0103,7518.98,8
2024-02-01,C00003,P0083,860.51,3
2024-03-01,C00003,P0076,2869.36,3
2024-03-01,C00003,P0022,165.48,3
2024-03-01,C00003,P0103,7068.84,8
2024-04-01,C00003,P0032,977.83,7
2024-04-01,C00003,P0076,3392.76,3
2024-05-01,C00003,P0131,466.58,5
2024-05-01,C00003,P0035,831.52,7
2024-05-01,C00003,P0032,392.62,3
2024-05-01,C00003,P0028,564.93,8
2024-05-01,C00003,P0022,846.79,16
2024-07-01,C00003,P0063,785.09,10
2024-07-01,C00003,P0076,5824.58,6
2024-07-01,C00003,P0103,9543.43,10
2024-09-01,C00003,P0030,1417.09,4
2024-09-01,C00003,P0063,645.6,8
2024-09-01,C00003,P0103,6305.99,7
2024-09-01,C00003,P0035,550.14,5
2024-09-01,C00003,P0022,642.45,12
2024-10-01,C00003,P0103,11236.49,13
2024-10-01,C00003,P0028,163.57,2
2024-11-01,C00003,P0032,391.82,3
2024-11-01,C00003,P0035,,3
2024-11-01,C00003,P0099,1028.08,7
2024-12-01,C00003,P0076,6800.88,7
2024-12-01,C00003,P0022,161.32,3
2024-12-01,C00003,P0063,676.15,8
2025-01-01,C00003,P0022,322.12,6
2025-01-01,C00003,P0099,797.6,6
2025-01-01,C00003,P0063,760.49,9
2025-01-01,C00003,P0028,233.9,3
2025-01-01,C00003,P0103,3501.35,4
2025-01-01,C00003,P0131,650.45,7
2025-02-01,C00003,P0099,154.19,1
2025-02-01,C00003,P0032,395.15,3
2025-02-01,C00003,P0022,262.88,5
2025-03-01,C00003,P0083,2315.15,9
2025-03-01,C00003,P0028,545.46,7
2025-04-01,C00003,P0063,79.91,1
2025-05-01,C00003,P0028,828.36,10
2025-05-01,C00003,P0076,7349.83,7
2025-06-01,C00003,P0099,1500.36,11
2025-06-01,C00003,P0131,775.84,9
2025-08-01,C00003,P0028,375.42,5
2025-08-01,C00003,P0131,411.3,5
2025-08-01,C00003,P0063,566.07,7
2025-08-01,C00003,P0083,1456.8,5
2025-09-01,C00003,P0035,304.23,3
2025-09-01,C00003,P0099,1104.46,8
2025-10-01,C00003,P0028,877.74,12
2025-10-01,C00003,P0022,211.4,4
2025-10-01,C00003,P0032,142.19,1
2025-10-01,C00003,P0030,1183.77,3
2025-11-01,C00003,P0131,1181.11,14
2025-11-01,C00003,P0063,566.1,7
2025-11-01,C00003,P0103,11936.43,13
2023-01-01,C00004,P0094,73.53,2
2023-01-01,C00004,P0131,431.72,5
2023-01-01,C00004,P0032,1549.27,12
2023-01-01,C00004,P0086,3825.18,8
2023-03-01,C00004,P0086,8335.07,16
2023-03-01,C00004,P0131,362.83,4
2023-03-01,C00004,P0032,854.25,7
2023-03-01,C00004,P0094,198.9,6
2023-05-01,C00004,P0032,616.96,5
2023-05-01,C00004,P0131,1145.06,13
2023-05-01,C00004,P0094,366.14,10
2023-05-01,C00004,P0086,3984.25,8
2023-06-01,C00004,P0032,1789.33,14
2023-08-01,C00004,P0094,174.64,5
2023-09-01,C00004,P0094,266.45,8
2023-09-01,C00004,P0131,638.63,7
2023-09-01,C00004,P0086,3122.85,6
2023-10-01,C00004,P0032,1135.9,9
2023-10-01,C00004,P0094,305.79,8
2023-10-01,C00004,P0086,3204.22,7
2023-10-01,C00004,P0131,803.59,9
2023-11-01,C00004,P0086,4775.6,10
2023-11-01,C00004,P0032,1534.73,11
2024-01-01,C00004,P0094,397.66,12
2024-01-01,C00004,P0032,1859.56,14
2024-01-01,C00004,P0086,2752.88,6
2024-03-01,C00004,P0131,860.66,10
2024-04-01,C00004,P0131,371.1,4
2024-06-01,C00004,P0094,364.62,10
2024-06-01,C00004,P0131,799.46,10
2024-07-01,C00004,P0094,289.9,9
2024-07-01,C00004,P0131,710.03,8
2024-07-01,C00004,P0032,892.86,7
2024-09-01,C00004,P0032,1140.02,9
2024-09-01,C00004,P0086,5898.33,12
2024-09-01,C00004,P0131,818.63,9
2024-10-01,C00004,P0131,323.32,4
2024-10-01,C00004,P0086,12132.51,24
2024-10-01,C00004,P0032,1669.78,12
2024-10-01,C00004,P0094,348.11,10
2024-11-01,C00004,P0086,10244.22,20
2024-11-01,C00004,P0032,2599.74,21
2025-03-01,C00004,P0032,686.08,5
2025-03-01,C00004,P0086,4400.52,9
2025-03-01,C00004,P0131,1517.21,17
2025-03-01,C00004,P0094,236.02,7
2025-04-01,C00004,P0094,609.67,18
2025-04-01,C00004,P0032,1122.81,8
2025-04-01,C00004,P0086,1818.15,4
2025-04-01,C00004,P0131,258.14,3
2025-05-01,C00004,P0032,1319.77,10
2025-05-01,C00004,P0086,7454.68,16
2025-05-01,C00004,P0131,1243.89,15
2025-05-01,C00004,P0094,104.37,3
2025-06-01,C00004,P0094,171.58,5
2025-06-01,C00004,P0131,1340.43,15
2025-07-01,C00004,P0032,851.88,7
2025-07-01,C00004,P0131,314.02,4
2025-07-01,C00004,P0086,3284.14,7
2025-07-01,C00004,P0094,365.35,10
2025-08-01,C00004,P0094,256.96,7
2025-09-01,C00004,P0032,417.19,3
2025-09-01,C00004,P0094,302.32,8
2025-09-01,C00004,P0131,424.25,5
2025-09-01,C00004,P0086,5268.11,12
2025-10-01,C00004,P0032,596.57,5
2025-10-01,C00004,P0131,953.99,11
2025-10-01,C00004,P0086,5700.78,13
2025-10-01,C00004,P0094,557.86,15
2025-11-01,C00004,P0094,271.69,8
2025-11-01,C00004,P0032,2237.21,16
2025-11-01,C00004,P0086,479.66,1
2025-12-01,C00004,P0032,250.52,2
2025-12-01,C00004,P0086,487.52,1
2025-12-01,C00004,P0094,177.5,5
2025-12-01,C00004,P0131,680.5,8
2023-02-01,C00005,P0097,769.04,6
2023-02-01,C00005,P0050,1004.69,2
2023-03-01,C00005,P0097,237.18,2
2023-03-01,C00005,P0076,4753.86,4
2023-03-01,C00005,P0117,295.45,1
2023-04-01,C00005,P0076,2262.34,2
2023-06-01,C00005,P0076,,5
2023-06-01,C00005,P0097,347.51,3
2023-09-01,C00005,P0097,122.9,1
2023-09-01,C00005,P0076,1185.8,1
2023-09-01,C00005,P0173,902.57,3
2023-10-01,C00005,P0173,291.17,1
2023-10-01,C00005,P0050,494.93,1
2023-10-01,C00005,P0117,1395.77,5
2023-11-01,C00005,P0097,495.16,4
2023-11-01,C00005,P0173,282.34,1
2023-12-01,C00005,P0076,3172.61,3
2024-01-01,C00005,P0050,529.74,1
2024-01-01,C00005,P0173,938.24,3
2024-01-01,C00005,P0076,1086.08,1
2024-01-01,C00005,P0117,857.0,3
2024-03-01,C00005,P0076,1098.7,1
2024-04-01,C00005,P0117,300.78,1
2024-05-01,C00005,P0050,1953.87,4
2024-05-01,C00005,P0076,1128.5,1
2024-06-01,C00005,P0076,1149.79,1
2024-06-01,C00005,P0050,506.79,1
2024-10-01,C00005,P0097,125.92,1
2024-10-01,C00005,P0076,3288.49,3
2024-11-01,C00005,P0117,297.21,1
2024-11-01,C00005,P0173,926.55,3
2024-11-01,C00005,P0050,1047.41,2
2024-11-01,C00005,P0076,1110.69,1
2025-01-01,C00005,P0117,303.68,1
2025-01-01,C00005,P0173,294.85,1
2025-07-01,C00005,P0076,3328.2,3
2023-01-01,C00006,P0145,1253.99,5
2023-01-01,C00006,P0030,6352.76,16
2023-03-01,C00006,P0079,1673.3,13
2023-03-01,C00006,P0030,2684.95,7
2023-03-01,C00006,P0094,71.95,2
2023-03-01,C00006,P0109,350.73,3
2023-03-01,C00006,P0026,525.15,10
2023-04-01,C00006,P0109,493.72,4
2023-04-01,C00006,P0026,700.39,13
2023-04-01,C00006,P0079,632.18,5
2023-05-01,C00006,P0094,318.04,9
2023-05-01,C00006,P0030,3037.01,8
2023-06-01,C00006,P0094,166.46,5
2023-08-01,C00006,P0026,234.39,5
2023-08-01,C00006,P0145,1094.69,4
2023-10-01,C00006,P0079,672.23,5
2023-12-01,C00006,P0083,1264.12,5
2023-12-01,C00006,P0109,1055.43,9
2024-05-01,C00006,P0067,1320.77,3
2024-05-01,C00006,P0030,1443.41,4
2024-09-01,C00006,P0067,1329.87,3
2024-11-01,C00006,P0026,530.8,10
2024-11-01,C00006,P0094,230.48,7
2025-06-01,C00006,P0127,2055.67,8
2025-06-01,C00006,P0026,210.79,4
2023-02-01,C00007,P0140,522.91,1
2023-06-01,C00007,P0122,1483.87,2
2023-07-01,C00007,P0073,520.72,3
2023-07-01,C00007,P0011,593.67,1
2023-08-01,C00007,P0043,1271.46,1
2023-08-01,C00007,P0119,186.77,2
2023-09-01,C00007,P0171,264.79,2
2023-09-01,C00007,P0140,1164.08,2
2023-10-01,C00007,P0073,871.12,5
2024-03-01,C00007,P0140,1085.96,2
2024-03-01,C00007,P0162,174.89,1
2024-07-01,C00007,P0140,1159.04,2
2024-07-01,C00007,P0122,1444.98,2
2024-08-01,C00007,P0119,482.34,5
2024-12-01,C00007,P0167,413.11,1
2024-12-01,C00007,P0119,100.5,1
2025-03-01,C00007,P0043,3812.55,3
2025-03-01,C00007,P0140,1169.64,2
2025-03-01,C00007,P0167,418.29,1
2025-07-01,C00007,P0017,482.33,1
2025-07-01,C00007,P0043,3499.64,3
2025-07-01,C00007,P0162,184.78,1
2025-07-01,C00007,P0160,56.98,1
2025-08-01,C00007,P0043,1183.95,1
2025-08-01,C00007,P0017,482.36,1
2025-10-01,C00007,P0043,3734.47,3
2023-09-01,C00008,P0024,1213.92,4
2023-09-01,C00008,P0140,585.77,1
2023-11-01,C00008,P0054,2939.04,7
2023-11-01,C00008,P0112,386.55,4
2024-02-01,C00008,P0024,323.75,1
2024-02-01,C00008,P0057,855.09,3
2024-04-01,C00008,P0112,376.3,4
2024-04-01,C00008,P0140,569.67,1
2024-04-01,C00008,P0054,1235.46,3
2024-04-01,C00008,P0068,675.7,5
2024-05-01,C00008,P0015,3291.26,6
2024-05-01,C00008,P0054,1943.66,5
2024-05-01,C00008,P0112,277.9,3
2024-05-01,C00008,P0010,1504.75,3
2024-05-01,C00008,P0057,597.24,2
2024-06-01,C00008,P0151,227.38,4
2024-06-01,C00008,P0128,296.89,3
2024-06-01,C00008,P0010,507.27,1
2024-07-01,C00008,P0010,2918.42,6
2024-08-01,C00008,P0010,2934.73,6
2024-08-01,C00008,P0024,637.57,2
2024-09-01,C00008,P0140,1693.06,3
2024-09-01,C00008,P0151,162.74,3
2024-10-01,C00008,P0128,192.04,2
2024-11-01,C00008,P0015,2227.07,4
2024-11-01,C00008,P0024,2143.77,7
2024-11-01,C00008,P0128,616.68,7
2025-01-01,C00008,P0151,212.19,4
2025-01-01,C00008,P0054,1659.3,4
2025-02-01,C00008,P0128,88.44,1
2025-02-01,C00008,P0140,1718.48,3
2025-02-01,C00008,P0113,560.92,1
2025-04-01,C00008,P0015,1715.43,3
2025-05-01,C00008,P0151,162.86,3
2025-05-01,C00008,P0054,2030.91,5
2025-05-01,C00008,P0068,259.58,2
2025-06-01,C00008,P0068,131.11,1
2025-06-01,C00008,P0151,53.12,1
2025-09-01,C00008,P0151,178.14,3
2025-10-01,C00008,P0054,379.74,1
2025-10-01,C00008,P0128,89.72,1
2025-10-01,C00008,P0057,1436.72,5
2025-11-01,C00008,P0024,2696.85,9
2025-11-01,C00008,P0015,1151.98,2
2023-02-01,C00009,P0047,283.38,3
2023-02-01,C00009,P0021,71.41,1
2023-03-01,C00009,P0041,727.77,1
2023-03-01,C00009,P0045,802.48,2
2023-10-01,C00009,P0170,42.4,1
2023-10-01,C00009,P0021,299.76,4
2023-11-01,C00009,P0041,728.68,1
2023-11-01,C00009,P0170,128.88,3
2023-11-01,C00009,P0021,452.54,6
2024-02-01,C00009,P0045,1700.14,4
2024-06-01,C00009,P0041,716.17,1
2024-08-01,C00009,P0164,295.03,2
2024-08-01,C00009,P0170,40.45,1
2024-09-01,C00009,P0047,85.09,1
2024-09-01,C00009,P0045,420.66,1
2025-07-01,C00009,P0047,86.98,1
2025-07-01,C00009,P0041,2795.72,4
2025-09-01,C00009,P0041,2247.19,3
2025-11-01,C00009,P0021,224.2,3
2025-11-01,C00009,P0170,219.85,5
2023-01-01,C00010,P0177,557.92,4
2023-02-01,C00010,P0132,96.36,1
2023-02-01,C00010,P0009,294.24,3
2023-02-01,C00010,P0177,266.32,2
2023-02-01,C00010,P0003,127.51,1
2023-03-01,C00010,P0009,179.0,2
2023-04-01,C00010,P0132,106.29,1
2023-05-01,C00010,P0070,232.65,1
2023-05-01,C00010,P0132,191.18,2
2023-05-01,C00010,P0005,321.61,1
2023-08-01,C00010,P0003,121.85,1
2023-09-01,C00010,P0003,130.6,1
2023-09-01,C00010,P0071,471.12,1
2024-01-01,C00010,P0132,96.22,1
2024-01-01,C00010,P0071,907.95,2
2024-05-01,C00010,P0005,1001.67,3
2024-10-01,C00010,P0003,119.06,1
2025-03-01,C00010,P0132,211.29,2
2023-01-01,C00011,P0037,161.25,3
2023-01-01,C00011,P0111,4113.99,15
2023-02-01,C00011,P0104,1232.82,2
2023-02-01,C00011,P0145,1359.78,5
2023-02-01,C00011,P0075,182.7,4
2023-02-01,C00011,P0175,6087.3,11
2023-02-01,C00011,P0037,235.07,4
2023-03-01,C00011,P0083,873.69,3
2023-03-01,C00011,P0111,2375.25,9
2023-03-01,C00011,P0037,594.58,10
2023-03-01,C00011,P0104,12017.87,18
2023-03-01,C00011,P0175,6615.67,13
2023-04-01,C00011,P0104,4537.06,7
2023-05-01,C00011,P0111,2337.46,9
2023-05-01,C00011,P0145,2639.08,9
2023-05-01,C00011,P0075,293.05,7
2023-05-01,C00011,P0083,4489.66,15
2023-05-01,C00011,P0175,11443.26,22
2023-06-01,C00011,P0104,10705.48,18
2023-06-01,C00011,P0037,870.78,15
2023-06-01,C00011,P0175,5524.81,10
2023-07-01,C00011,P0145,599.82,2
2023-08-01,C00011,P0075,446.67,10
2023-08-01,C00011,P0111,1066.94,4
2023-08-01,C00011,P0037,908.08,15
2023-09-01,C00011,P0075,139.71,3
2023-10-01,C00011,P0037,942.06,16
2023-10-01,C00011,P0104,4998.02,8
2023-10-01,C00011,P0145,2516.8,9
2023-10-01,C00011,P0083,2854.84,10
2023-11-01,C00011,P0145,2771.87,10
2023-11-01,C00011,P0175,7117.75,14
2023-11-01,C00011,P0111,1274.21,5
2023-11-01,C00011,P0075,332.24,8
2023-11-01,C00011,P0037,746.57,13
2023-11-01,C00011,P0104,10409.23,17
2023-11-01,C00011,P0083,1442.07,5
2023-12-01,C00011,P0075,342.04,8
2024-02-01,C00011,P0104,2406.07,4
2024-02-01,C00011,P0145,271.87,1
2024-02-01,C00011,P0111,2947.8,11
2024-02-01,C00011,P0075,413.12,10
2024-03-01,C00011,P0145,2342.15,8
2024-03-01,C00011,P0083,1683.35,6
2024-03-01,C00011,P0037,112.52,2
2024-03-01,C00011,P0104,4984.17,8
2024-03-01,C00011,P0075,288.19,7
2024-03-01,C00011,P0111,1486.53,6
2024-03-01,C00011,P0175,2593.47,5
2024-04-01,C00011,P0175,4286.7,8
2024-04-01,C00011,P0104,8565.37,13
2024-04-01,C00011,P0037,531.77,9
2024-05-01,C00011,P0111,804.54,3
2024-05-01,C00011,P0145,883.27,3
2024-05-01,C00011,P0175,3201.71,6
2024-05-01,C00011,P0104,4951.75,8
2024-05-01,C00011,P0037,445.58,8
2024-05-01,C00011,P0075,358.53,8
2024-06-01,C00011,P0075,512.9,12
2024-06-01,C00011,P0083,1848.16,6
2024-06-01,C00011,P0037,652.98,12
2024-06-01,C00011,P0111,766.9,3
2024-06-01,C00011,P0104,16786.27,27
2024-06-01,C00011,P0145,3882.87,14
2024-06-01,C00011,P0175,4359.96,8
2024-07-01,C00011,P0111,2431.6,9
2024-07-01,C00011,P0083,276.13,1
2024-08-01,C00011,P0075,259.86,6
2024-08-01,C00011,P0145,2145.15,8
2024-08-01,C00011,P0175,3964.9,7
2024-08-01,C00011,P0083,3709.91,13
2024-08-01,C00011,P0111,4321.26,17
2024-09-01,C00011,P0037,489.91,9
2024-09-01,C00011,P0111,2102.49,8
2024-09-01,C00011,P0104,8464.67,13
2024-09-01,C00011,P0145,3687.03,13
2024-10-01,C00011,P0111,3189.06,12
2024-10-01,C00011,P0037,914.06,17
2024-10-01,C00011,P0083,5116.7,18
2024-11-01,C00011,P0175,4824.14,9
2024-11-01,C00011,P0145,1359.77,5
2024-11-01,C00011,P0111,5347.26,20
2025-01-01,C00011,P0111,1872.01,7
2025-02-01,C00011,P0175,3133.08,6
2025-02-01,C00011,P0075,348.85,8
2025-04-01,C00011,P0037,1056.07,18
2025-04-01,C00011,P0145,4671.43,17
2025-04-01,C00011,P0111,2773.49,11
2025-04-01,C00011,P0075,681.07,15
2025-05-01,C00011,P0145,1496.8,5
2025-05-01,C00011,P0175,5118.14,10
2025-05-01,C00011,P0037,396.63,7
2025-05-01,C00011,P0104,1775.31,3
2025-06-01,C00011,P0083,3025.43,10
