Month_Year,Customer_ID,SF_Activity_Count,SF_Selling_Time,SF_Activity_Time_,Activity_Type,Sales_Rep,Opportunity_Stage
2023-01-01,C00001,1,0.51,0.38,Account Review,Rep_13,Prospecting
2023-02-01,C00001,1,0.74,0.36,Call,Rep_02,Proposal
2023-03-01,C00001,2,2.28,0.58,Account Review,Rep_14,Closed Lost
2023-05-01,C00001,12,8.09,7.56,Call,Rep_21,Proposal
2023-06-01,C00001,4,4.11,1.58,Demo,Rep_01,Qualification
2023-07-01,C00001,1,0.66,0.41,Call,Rep_01,Prospecting
2023-08-01,C00001,2,2.23,0.79,Email,Rep_18,Proposal
2023-10-01,C00001,3,2.12,0.88,Call,Rep_13,Negotiation
2023-11-01,C00001,3,1.62,1.35,Call,Rep_08,Negotiation
2023-12-01,C00001,2,1.4,0.64,Email,Rep_03,Prospecting
2024-01-01,C00001,13,9.58,8.86,Email,Rep_21,Prospecting
2024-03-01,C00001,1,0.52,0.86,Call,Rep_12,Qualification
2024-04-01,C00001,7,7.91,6.01,Meeting,Rep_01,Nurture
2024-05-01,C00001,1,0.65,0.39,Meeting,Rep_13,Prospecting
2024-06-01,C00001,1,0.98,0.52,Demo,Rep_23,Nurture
2024-07-01,C00001,4,1.09,1.4,Call,Rep_12,Prospecting
2024-08-01,C00001,4,1.9,2.58,Demo,Rep_23,Proposal
2024-09-01,C00001,3,3.07,0.65,Email,Rep_08,Negotiation
2024-10-01,C00001,3,0.89,1.84,Meeting,Rep_10,Prospecting
2024-11-01,C00001,6,2.08,2.75,Email,Rep_06,Closed Lost
2024-12-01,C00001,4,3.83,3.42,Account Review,Rep_21,Closed Won
2025-02-01,C00001,11,6.44,5.47,Email,Rep_23,Qualification
2025-03-01,C00001,6,3.45,3.43,Email,Rep_11,Prospecting
2025-05-01,C00001,4,3.4,2.94,Email,Rep_13,Negotiation
2025-06-01,C00001,3,1.25,0.83,Email,Rep_06,Qualification
2025-08-01,C00001,5,3.77,3.96,Meeting,Rep_06,Prospecting
2025-09-01,C00001,3,2.89,1.36,Email,Rep_13,Nurture
2025-10-01,C00001,3,1.44,2.31,Email,Rep_17,Proposal
2025-12-01,C00001,4,3.02,3.48,Email,Rep_05,Qualification
2023-06-01,C00002,4,1.07,1.67,Email,Rep_04,Closed Lost
2023-08-01,C00002,1,0.55,0.55,Email,Rep_18,Prospecting
2023-10-01,C00002,1,0.4,0.66,Call,Rep_07,Negotiation
2024-01-01,C00002,1,0.33,0.8,Call,Rep_20,Prospecting
2024-02-01,C00002,1,0.97,0.33,Email,Rep_03,Nurture
2024-03-01,C00002,4,4.47,3.54,Call,Rep_20,Qualification
2024-04-01,C00002,3,2.61,1.39,Call,Rep_12,Qualification
2024-08-01,C00002,4,1.47,1.76,Call,Rep_11,Prospecting
2025-06-01,C00002,7,5.55,2.0,Meeting,Rep_12,Qualification
2025-07-01,C00002,3,1.93,0.87,Call,Rep_19,Proposal
2025-08-01,C00002,7,1.89,2.69,Call,Rep_07,Proposal
2025-10-01,C00002,3,3.09,1.03,Email,Rep_16,Proposal
2025-11-01,C00002,6,4.54,1.55,Meeting,Rep_23,Nurture
2023-01-01,C00003,4,3.91,2.66,Email,Rep_20,Qualification
2023-02-01,C00003,1,0.26,0.43,Proposal,Rep_14,
2023-04-01,C00003,6,3.27,3.67,Call,Rep_02,Qualification
2023-05-01,C00003,5,5.07,3.29,Call,Rep_01,Proposal
2023-06-01,C00003,5,1.66,2.54,Meeting,Rep_16,Closed Lost
2023-07-01,C00003,2,2.1,0.92,Account Review,Rep_06,Prospecting
2023-08-01,C00003,6,6.0,5.06,Account Review,Rep_03,Prospecting
2023-09-01,C00003,4,1.33,1.39,Demo,Rep_08,Closed Lost
2023-10-01,C00003,4,1.59,1.6,Meeting,Rep_22,Prospecting
2023-11-01,C00003,1,0.39,0.2,Account Review,Rep_04,Qualification
2024-01-01,C00003,9,9.85,4.6,Call,Rep_11,Prospecting
2024-02-01,C00003,7,2.18,4.51,Call,Rep_01,Closed Lost
2024-03-01,C00003,4,1.26,1.97,Account Review,Rep_19,Qualification
